tipo,latitude,longitude,bright,date,admin2,admin3,country_code,country_es
24h,43.52779,-5.73065,316.99, 3 de agosto,Gijón / Xixón,Asturias / Asturies,ES,España
24h,43.52711,-5.72567,304.37, 3 de agosto,Gijón / Xixón,Asturias / Asturies,ES,España
24h,43.52374,-5.72653,328.1, 3 de agosto,Gijón / Xixón,Asturias / Asturies,ES,España
24h,43.52105,-5.7324,301.71, 3 de agosto,Gijón / Xixón,Asturias / Asturies,ES,España
24h,43.33035,-5.77348,301.37, 3 de agosto,Oviedo,Asturias / Asturies,ES,España
24h,41.31269,1.65915,307.27, 3 de agosto,Santa Margarida i els Monjos,Barcelona,ES,España
24h,41.31343,1.66547,307.02, 3 de agosto,Santa Margarida i els Monjos,Barcelona,ES,España
24h,40.24405,-3.47438,329.54, 3 de agosto,Morata de Tajuña,Comunidad de Madrid,ES,España
24h,40.00936,-3.89879,304.3, 3 de agosto,Villaluenga de la Sagra,Toledo,ES,España
24h,39.93639,-3.74618,314.6, 3 de agosto,Yepes,Toledo,ES,España
24h,39.68761,-8.90417,303.52, 3 de agosto,Maceira,Leiria,PT,Portugal
24h,38.67805,-4.06067,314.03, 3 de agosto,Puertollano,Ciudad Real,ES,España
24h,39.37023,-9.0504,316.36, 3 de agosto,Caldas da Rainha,Leiria,PT,Portugal
24h,38.50074,-8.93679,306.3, 3 de agosto,Setúbal,Setúbal,PT,Portugal
24h,38.19277,-6.62656,303.49, 3 de agosto,Fregenal de la Sierra,Badajoz,ES,España
24h,37.66804,-5.16291,318.09, 3 de agosto,Fuente Carreteros,Córdoba,ES,España
24h,37.43706,-5.21219,334, 3 de agosto,Écija,Sevilla,ES,España
24h,37.36168,-5.86479,312.8, 3 de agosto,Alcalá de Guadaíra,Sevilla,ES,España
24h,60.28886,22.29206,304.79, 3 de agosto,Pargas,Lounais-Suomen aluehallintovirasto,FI,Finlandia
24h,58.28025,6.88995,296.71, 3 de agosto,Kvinesdal,Agder,NO,Noruega
24h,52.71436,15.85277,316.29, 3 de agosto,gmina Drezdenko,województwo lubuskie,PL,Polonia
24h,52.71351,15.85223,310.38, 3 de agosto,gmina Drezdenko,województwo lubuskie,PL,Polonia
24h,51.30072,23.22495,301.32, 3 de agosto,gmina Cyców,województwo lubelskie,PL,Polonia
24h,51.13821,23.55149,300.67, 3 de agosto,gmina Chełm,województwo lubelskie,PL,Polonia
24h,51.68958,15.98115,334.3, 3 de agosto,gmina Żukowice,województwo dolnośląskie,PL,Polonia
24h,51.69007,15.97475,310.03, 3 de agosto,gmina Żukowice,województwo dolnośląskie,PL,Polonia
24h,51.68484,15.98676,300.09, 3 de agosto,gmina Żukowice,województwo dolnośląskie,PL,Polonia
24h,50.82848,20.2723,301.42, 3 de agosto,gmina Małogoszcz,województwo świętokrzyskie,PL,Polonia
24h,50.07692,20.09964,306.58, 3 de agosto,Kraków,województwo małopolskie,PL,Polonia
24h,49.59032,20.66859,297.12, 3 de agosto,Nowy Sącz,województwo małopolskie,PL,Polonia
24h,49.95531,9.76555,299.52, 3 de agosto,Karlstadt,Bayern,DE,Alemania
24h,49.95658,9.76565,301.91, 3 de agosto,Karlstadt,Bayern,DE,Alemania
24h,48.61815,21.18265,301.92, 3 de agosto,Košice,Košický kraj,SK,Eslovaquia
24h,48.61256,21.19818,304.72, 3 de agosto,Košice,Košický kraj,SK,Eslovaquia
24h,48.60992,21.19164,329.38, 3 de agosto,Košice,Košický kraj,SK,Eslovaquia
24h,48.60801,21.17957,332.13, 3 de agosto,Košice,Košický kraj,SK,Eslovaquia
24h,48.60654,21.19061,302.55, 3 de agosto,Košice,Košický kraj,SK,Eslovaquia
24h,49.53165,8.4135,306.05, 3 de agosto,Ludwigshafen am Rhein,Rheinland-Pfalz,DE,Alemania
24h,48.4588,17.19078,309.24, 3 de agosto,Rohožník,Bratislavský kraj,SK,Eslovaquia
24h,48.7796,10.69891,300.51, 3 de agosto,Harburg (Schwaben),Bayern,DE,Alemania
24h,48.65385,10.1635,297.66, 3 de agosto,Heidenheim an der Brenz,Baden-Württemberg,DE,Alemania
24h,48.14414,16.49596,301.16, 3 de agosto,Gemeinde Schwechat,Niederösterreich,AT,Austria
24h,48.14366,16.50113,303.51, 3 de agosto,Gemeinde Schwechat,Niederösterreich,AT,Austria
24h,47.03799,22.33503,298.51, 3 de agosto,Subpiatră,Bihor,RO,Rumanía
24h,45.78119,26.80661,318.51, 3 de agosto,Vâlcani,Vrancea,RO,Rumanía
24h,46.95354,18.92724,306.08, 3 de agosto,Dunaújváros,Fejér vármegye,HU,Hungría
24h,46.95205,18.92626,307.11, 3 de agosto,Dunaújváros,Fejér vármegye,HU,Hungría
24h,46.94351,18.93634,301.77, 3 de agosto,Dunaújváros,Fejér vármegye,HU,Hungría
24h,45.95155,25.28018,312.71, 3 de agosto,Cuciulata,Brașov,RO,Rumanía
24h,45.42186,27.96992,328.82, 3 de agosto,Galați,Galați,RO,Rumanía
24h,45.4206,27.97597,305.14, 3 de agosto,Galați,Galați,RO,Rumanía
24h,46.73929,15.57406,303.23, 3 de agosto,Obervogau,Steiermark,AT,Austria
24h,45.29106,25.10987,303.24, 3 de agosto,Bilcești,Argeș,RO,Rumanía
24h,45.1241,25.41871,314.59, 3 de agosto,Fieni,Dâmbovița,RO,Rumanía
24h,45.98485,17.73423,324.97, 3 de agosto,Szigetvári járás,Baranya vármegye,HU,Hungría
24h,45.68453,9.46233,300.18, 3 de agosto,Calusco d'Adda,Lombardia,IT,Italia
24h,45.42727,10.99776,301.04, 3 de agosto,Verona,Veneto,IT,Italia
24h,45.4385,8.79058,301.56, 3 de agosto,Trecate,Piemonte,IT,Italia
24h,44.68413,10.06615,302.25, 3 de agosto,Solignano,Emilia-Romagna,IT,Italia
24h,41.17819,32.63566,304.34, 3 de agosto,Karabük,Karabük,TR,Turquía
24h,41.17444,32.6293,303.53, 3 de agosto,Karabük,Karabük,TR,Turquía
24h,41.17337,32.63331,301.36, 3 de agosto,Karabük,Karabük,TR,Turquía
24h,41.26667,31.42504,312.95, 3 de agosto,Ereğli,Zonguldak,TR,Turquía
24h,41.2546,31.41245,301.7, 3 de agosto,Gülüç,Zonguldak,TR,Turquía
24h,40.76657,32.21848,296.34, 3 de agosto,Gerede,Bolu,TR,Turquía
24h,40.75608,31.78247,300.56, 3 de agosto,Bolu Merkez,Bolu,TR,Turquía
24h,41.79575,26.70133,303, 3 de agosto,Lalapaşa,Edirne,TR,Turquía
24h,43.6591,11.83802,299.4, 3 de agosto,Rassina,Toscana,IT,Italia
24h,42.64236,20.89867,305.43, 3 de agosto,Komuna e Drenasit / Opština Glogovac,NA,XK,Kosovo
24h,39.94384,33.19149,299.96, 3 de agosto,NA,Ankara,TR,Turquía
24h,40.75438,29.75759,308.2, 3 de agosto,NA,Kocaeli,TR,Turquía
24h,40.75306,29.76312,304.54, 3 de agosto,Körfez,Kocaeli,TR,Turquía
24h,40.78176,29.60348,304.83, 3 de agosto,Dilovası,Kocaeli,TR,Turquía
24h,43.44946,4.89024,311.98, 3 de agosto,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
24h,43.44941,4.89825,301.53, 3 de agosto,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
24h,43.44287,4.87402,306, 3 de agosto,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
24h,43.44283,4.88206,305.7, 3 de agosto,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
24h,43.44277,4.89007,305.33, 3 de agosto,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
24h,43.43607,4.88996,311.21, 3 de agosto,Fos-sur-Mer,Provence-Alpes-Côte d'Azur,FR,Francia
24h,39.64584,32.05058,297.63, 3 de agosto,NA,Ankara,TR,Turquía
24h,40.24005,28.96667,302.44, 3 de agosto,Nilüfer,Bursa,TR,Turquía
24h,40.40219,27.29464,302.81, 3 de agosto,Biga,Çanakkale,TR,Turquía
24h,39.57846,29.86429,298.23, 3 de agosto,Kütahya Merkez,Kütahya,TR,Turquía
24h,39.48687,30.04088,308.13, 3 de agosto,Kütahya Merkez,Kütahya,TR,Turquía
24h,41.93151,14.80661,323.54, 3 de agosto,Montenero di Bisaccia,Molise,IT,Italia
24h,41.32848,19.80681,304.48, 3 de agosto,Tiranë,Shqipëria Qendrore,AL,Albania
24h,41.83584,15.1396,312.17, 3 de agosto,Serracapriola,Puglia,IT,Italia
24h,38.2096,33.99262,298.74, 3 de agosto,Aksaray Merkez,Aksaray,TR,Turquía
24h,40.1426,25.93405,308.68, 3 de agosto,Gökçeada,Çanakkale,TR,Turquía
24h,41.72356,15.03145,307.5, 3 de agosto,Santa Croce di Magliano,Molise,IT,Italia
24h,41.61481,15.24179,301.7, 3 de agosto,Torremaggiore,Puglia,IT,Italia
24h,39.86444,26.24424,314.43, 3 de agosto,Bozalan,Çanakkale,TR,Turquía
24h,40.76829,20.77545,300.53, 3 de agosto,Bashkia Maliq,Shqipëria Jugore,AL,Albania
24h,40.76711,20.76108,302.15, 3 de agosto,Bashkia Maliq,Shqipëria Jugore,AL,Albania
24h,40.76384,20.76021,312.18, 3 de agosto,Bashkia Maliq,Shqipëria Jugore,AL,Albania
24h,40.76314,20.7647,312.41, 3 de agosto,Bashkia Maliq,Shqipëria Jugore,AL,Albania
24h,40.76245,20.7692,309.78, 3 de agosto,Bashkia Maliq,Shqipëria Jugore,AL,Albania
24h,40.7566,20.76295,305.59, 3 de agosto,Bashkia Maliq,Shqipëria Jugore,AL,Albania
24h,38.66079,30.62001,300.1, 3 de agosto,Afyonkarahisar Merkez,Afyonkarahisar,TR,Turquía
24h,41.32766,15.330260000000001,318.17, 3 de agosto,Orsara di Puglia,Puglia,IT,Italia
24h,41.32721,15.33012,318.62, 3 de agosto,Orsara di Puglia,Puglia,IT,Italia
24h,40.63044,18.00057,313.69, 3 de agosto,Brindisi,Puglia,IT,Italia
24h,38.15468,30.84723,302.57, 3 de agosto,Yalvaç,Isparta,TR,Turquía
24h,38.15383,30.85058,315.97, 3 de agosto,Yalvaç,Isparta,TR,Turquía
24h,40.46122,18.08835,306.97, 3 de agosto,Lecce,Puglia,IT,Italia
24h,40.52255,17.20463,315.8, 3 de agosto,Statte,Puglia,IT,Italia
24h,40.51836,17.20912,328.94, 3 de agosto,Taranto,Puglia,IT,Italia
24h,40.51416,17.21361,308.44, 3 de agosto,Taranto,Puglia,IT,Italia
24h,40.50709,17.21207,329.67, 3 de agosto,Taranto,Puglia,IT,Italia
24h,40.50644,17.21733,308.07, 3 de agosto,Taranto,Puglia,IT,Italia
24h,40.5029,17.21656,330.77, 3 de agosto,Taranto,Puglia,IT,Italia
24h,40.50225,17.22181,317.62, 3 de agosto,Taranto,Puglia,IT,Italia
24h,38.7562,26.95209,321.87, 3 de agosto,Aliağa,İzmir,TR,Turquía
24h,38.75227,26.95068,306.23, 3 de agosto,Aliağa,İzmir,TR,Turquía
24h,38.74442,26.9478,307.04, 3 de agosto,Aliağa,İzmir,TR,Turquía
24h,38.74048,26.94642,307.8, 3 de agosto,Aliağa,İzmir,TR,Turquía
24h,38.73655,26.94504,310.65, 3 de agosto,Aliağa,İzmir,TR,Turquía
24h,38.73062,26.93331,305.67, 3 de agosto,Aliağa,İzmir,TR,Turquía
24h,40.09775,18.22478,302.66, 3 de agosto,Cutrofiano,Puglia,IT,Italia
24h,40.31609,15.8963,299.71, 3 de agosto,Viggiano,Basilicata,IT,Italia
24h,38.42897,27.21605,311.58, 3 de agosto,Bornova,Ege Bölgesi,TR,Turquía
24h,37.25498,30.44162,304.34, 3 de agosto,Döşemealtı,Burdur,TR,Turquía
24h,38.79808,15.20974,310.06, 3 de agosto,Lipari,Sicilia,IT,Italia
24h,38.79419,15.21006,330.29, 3 de agosto,Lipari,Sicilia,IT,Italia
24h,39.08044,9.01554,306.01, 3 de agosto,Sarroccu/Sarroch,Sardigna/Sardegna,IT,Italia
24h,38.19654,15.66753,329.95, 3 de agosto,Reggio di Calabria,Calabria,IT,Italia
24h,38.19286,15.66683,314.8, 3 de agosto,Reggio di Calabria,Calabria,IT,Italia
24h,37.67864,13.04925,338.17, 3 de agosto,Santa Margherita di Belice,Sicilia,IT,Italia
24h,37.47252,14.94116,306.12, 3 de agosto,Belpasso,Sicilia,IT,Italia
24h,37.38741,14.64021,328.34, 3 de agosto,Ramacca,Sicilia,IT,Italia
24h,37.3867,14.64644,306.52, 3 de agosto,Ramacca,Sicilia,IT,Italia
24h,37.38287,14.64584,327.42, 3 de agosto,Ramacca,Sicilia,IT,Italia
24h,37.38357,14.6396,314.59, 3 de agosto,Ramacca,Sicilia,IT,Italia
24h,37.43537,13.42142,306.96, 3 de agosto,Cattolica Eraclea,Sicilia,IT,Italia
24h,37.25684,14.87795,303.45, 3 de agosto,Lentini,Sicilia,IT,Italia
24h,37.21156,15.16996,310.04, 3 de agosto,Augusta,Sicilia,IT,Italia
24h,37.12213,14.42135,307.19, 3 de agosto,Niscemi,Sicilia,IT,Italia
24h,37.12483,14.42131,310.45, 3 de agosto,Niscemi,Sicilia,IT,Italia
24h,63.92041,-22.2303,304.68, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91182,-22.25898,296.7, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91342,-22.22904,309.01, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91414,-22.2155,297.35, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,59.6467,6.35917,328.4, 3 de agosto,Sauda,Rogaland,NO,Noruega
24h,59.64556,6.36574,307.23, 3 de agosto,Sauda,Rogaland,NO,Noruega
24h,51.69215,15.97948,326.86, 3 de agosto,gmina Żukowice,województwo dolnośląskie,PL,Polonia
24h,51.1846,16.11558,297.03, 3 de agosto,Legnica,województwo dolnośląskie,PL,Polonia
24h,52.1666,10.42716,299.31, 3 de agosto,Salzgitter,Niedersachsen,DE,Alemania
24h,52.16415,10.41831,308.37, 3 de agosto,Salzgitter,Niedersachsen,DE,Alemania
24h,52.16172,10.40945,315.9, 3 de agosto,Salzgitter,Niedersachsen,DE,Alemania
24h,52.16014,10.41561,309.33, 3 de agosto,Salzgitter,Niedersachsen,DE,Alemania
24h,52.15771,10.40675,328.89, 3 de agosto,Salzgitter,Niedersachsen,DE,Alemania
24h,52.1537,10.40404,321.71, 3 de agosto,Salzgitter,Niedersachsen,DE,Alemania
24h,52.16187,10.41684,315.14, 3 de agosto,Salzgitter,Niedersachsen,DE,Alemania
24h,52.15942,10.40794,312.2, 3 de agosto,Salzgitter,Niedersachsen,DE,Alemania
24h,52.15786,10.41413,307.25, 3 de agosto,Salzgitter,Niedersachsen,DE,Alemania
24h,52.15541,10.40522,328.16, 3 de agosto,Salzgitter,Niedersachsen,DE,Alemania
24h,52.15139,10.40251,326.93, 3 de agosto,Salzgitter,Niedersachsen,DE,Alemania
24h,48.60812,21.17448,301.32, 3 de agosto,Veľká Ida,Košický kraj,SK,Eslovaquia
24h,48.61034,21.17835,296.6, 3 de agosto,Košice,Košický kraj,SK,Eslovaquia
24h,51.27078,11.65983,303.32, 3 de agosto,Unstruttal,Sachsen-Anhalt,DE,Alemania
24h,52.4935,4.6077,301.76, 3 de agosto,Beverwijk,Noord-Holland,NL,Países Bajos
24h,52.4923,4.61385,298.5, 3 de agosto,Beverwijk,Noord-Holland,NL,Países Bajos
24h,52.48582,4.59009,297.01, 3 de agosto,Velsen,Noord-Holland,NL,Países Bajos
24h,52.484610000000004,4.59623,307.97, 3 de agosto,Velsen,Noord-Holland,NL,Países Bajos
24h,53.68458,-6.3897,296.05, 3 de agosto,NA,County Meath,IE,Irlanda
24h,48.45704,17.19049,302.57, 3 de agosto,Rohožník,Bratislavský kraj,SK,Eslovaquia
24h,48.14725,16.49751,297.28, 3 de agosto,Gemeinde Schwechat,Niederösterreich,AT,Austria
24h,48.76741,11.5855,304.18, 3 de agosto,Vohburg an der Donau,Bayern,DE,Alemania
24h,49.53146,8.41652,310.96, 3 de agosto,Ludwigshafen am Rhein,Rheinland-Pfalz,DE,Alemania
24h,49.526,8.41998,310.5, 3 de agosto,Ludwigshafen am Rhein,Rheinland-Pfalz,DE,Alemania
24h,48.77713,10.69847,295.61, 3 de agosto,Harburg (Schwaben),Bayern,DE,Alemania
24h,45.98609,17.73717,307.31, 3 de agosto,Szigetvári járás,Baranya vármegye,HU,Hungría
24h,45.51013,10.24811,304.93, 3 de agosto,Brescia,Lombardia,IT,Italia
24h,45.64595,1.3695600000000001,302.16, 3 de agosto,Limoges,Nouvelle-Aquitaine,FR,Francia
24h,63.92312,-22.20592,310.64, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.92209,-22.19769,308.61, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.92105,-22.18949,302.6, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91978,-22.20809,347.81, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91875,-22.19985,353.32, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91772,-22.19165,318.91, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91645,-22.21029,332.36, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91541,-22.20204,354.73, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91438,-22.19381,325, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91312,-22.21251,296.36, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91208,-22.20424,319.17, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91104,-22.19599,300.29, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.89978,-22.22139,296.27, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.89644,-22.22358,306.99, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.89311,-22.22581,324.88, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.89417,-22.22341,321.77, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.89085,-22.22567,299.45, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,78.05544,14.21955,328.88, 3 de agosto,Barentsburg,Svalbard,NO,Noruega
24h,37.70414,33.3441,331.09, 3 de agosto,Karapınar,Konya,TR,Turquía
24h,38.48596,32.31486,343.15, 3 de agosto,Kadınhanı,Konya,TR,Turquía
24h,38.98645,31.90865,347.8, 3 de agosto,Adakasım Mahallesi,Konya,TR,Turquía
24h,38.98767,31.76965,356.14, 3 de agosto,Yukarıaliçomak Mahallesi,Konya,TR,Turquía
24h,39.04829,31.90254,343.85, 3 de agosto,Gökpınar Mahallesi,Konya,TR,Turquía
24h,39.04688,31.8965,340.95, 3 de agosto,Gökpınar Mahallesi,Konya,TR,Turquía
24h,39.05272,31.90069,343.87, 3 de agosto,Gökpınar Mahallesi,Konya,TR,Turquía
24h,39.04801,31.90186,340.61, 3 de agosto,Gökpınar Mahallesi,Konya,TR,Turquía
24h,39.05244,31.90003,348.71, 3 de agosto,Gökpınar Mahallesi,Konya,TR,Turquía
24h,39.82164,28.12251,335.48, 3 de agosto,Susurluk,Balıkesir,TR,Turquía
24h,39.82674,28.11967,335.84, 3 de agosto,Susurluk,Balıkesir,TR,Turquía
24h,41.45753,26.67556,340.83, 3 de agosto,Elçili Köyü,Edirne,TR,Turquía
24h,41.46288,26.67303,367, 3 de agosto,Elçili Köyü,Edirne,TR,Turquía
24h,42.36089,21.38851,348.96, 3 de agosto,Komuna e Kllokotit / Opština Klokot,NA,XK,Kosovo
24h,44.26877,27.14245,332.19, 3 de agosto,Potcoava,Călărași,RO,Rumanía
24h,42.51697,21.20962,367, 3 de agosto,Komuna e Lipjanit / Opština Lipljan,NA,XK,Kosovo
24h,42.51417,21.20138,344.46, 3 de agosto,Komuna e Lipjanit / Opština Lipljan,NA,XK,Kosovo
24h,45.37409,30.92802,331.84, 3 de agosto,NA,NA,NA,Mundo
24h,44.18704,23.08471,329.21, 3 de agosto,Gemeni,Mehedinți,RO,Rumanía
24h,44.19271,23.08137,346.66, 3 de agosto,Gemeni,Mehedinți,RO,Rumanía
24h,44.1908,22.98921,328.48, 3 de agosto,Obârșia de Câmp,Mehedinți,RO,Rumanía
